Désignation;Type de médicament;Laboratoire
ABILIFY 7 5 mg/ml  solution injectable;solution injectable;OTSUKA PHARMACEUTICAL NETHERLANDS (PAYS BAS)
ABILIFY MAINTENA 300 mg  poudre et solvant pour suspension injectable à libération prolongée;poudre et  solvant pour suspension injectable à libération prolongée;OTSUKA PHARMACEUTICAL EUROPE (ROYAUME-UNI)
ABILIFY MAINTENA 400 mg  poudre et solvant pour suspension injectable à libération prolongée;poudre et  solvant pour suspension injectable à libération prolongée;OTSUKA PHARMACEUTICAL EUROPE (ROYAUME-UNI)
ABILIFY MAINTENA 400 mg  poudre et solvant pour suspension injectable à libération prolongée en seringue préremplie;poudre et  solvant pour suspension injectable à libération prolongée;OTSUKA PHARMACEUTICAL EUROPE (ROYAUME-UNI)
ABRAXANE 5 mg/ml  poudre pour suspension injectable pour perfusion;poudre pour suspension injectable pour perfusion;CELGENE EUROPE (ROYAUME-UNI)
ABROTANUM BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ABROTANUM LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
ABROTANUM WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  crème et  solution en gouttes en gouttes;WELEDA
ABSINTHIUM BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ABSINTHIUM LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
ABSTRAL 100 microgrammes  comprimé sublingual;comprimé;KYOWA KIRIN HOLDINGS (PAYS-BAS)
ABSTRAL 200 microgrammes  comprimé sublingual;comprimé;KYOWA KIRIN HOLDINGS (PAYS-BAS)
ABSTRAL 300 microgrammes  comprimé sublingual;comprimé;KYOWA KIRIN HOLDINGS (PAYS-BAS)
ABSTRAL 400 microgrammes  comprimé sublingual;comprimé;KYOWA KIRIN HOLDINGS (PAYS-BAS)
ABSTRAL 600 microgrammes  comprimé sublingual;comprimé;KYOWA KIRIN HOLDINGS (PAYS-BAS)
ABSTRAL 800 microgrammes  comprimé sublingual;comprimé;KYOWA KIRIN HOLDINGS (PAYS-BAS)
ABUFENE 400 mg  comprimé;comprimé;BOUCHARA-RECORDATI
ACADIONE 250 mg  comprimé dragéifié;comprimé dragéifié;SANOFI AVENTIS FRANCE
ACALYPHA INDICA BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ACAMPROSATE BIOGARAN 333 mg  comprimé pelliculé gastro-résistant;comprimé pelliculé gastro-résistant(e);BIOGARAN
ACARBOSE ARROW LAB 100 mg  comprimé;comprimé;GENEVIDA (ALLEMAGNE)
ACARBOSE ARROW LAB 50 mg  comprimé;comprimé;GENEVIDA (ALLEMAGNE)
ACARBOSE BIOGARAN 100 mg  comprimé sécable;comprimé;BIOGARAN
ACARBOSE BIOGARAN 50 mg  comprimé;comprimé;BIOGARAN
ACARBOSE EG 100 mg  comprimé;comprimé;EG LABO - LABORATOIRES EUROGENERICS
ACARBOSE EG 50 mg  comprimé;comprimé;EG LABO - LABORATOIRES EUROGENERICS
ACARBOSE MYLAN 100 mg  comprimé sécable;comprimé sécable;MYLAN SAS
ACARBOSE MYLAN 50 mg  comprimé;comprimé;MYLAN SAS
ACARBOSE SANDOZ 100 mg  comprimé;comprimé;SANDOZ
ACARBOSE SANDOZ 50 mg  comprimé;comprimé;SANDOZ
ACARBOSE ZENTIVA 100 mg  comprimé sécable;comprimé;ZENTIVA FRANCE
ACARBOSE ZENTIVA 50 mg  comprimé;comprimé;ZENTIVA FRANCE
ACARIZAX 12 SQ-HDM  lyophilisat oral;lyophilisat;ALK ABELLO (DANEMARK)
ACCOFIL 30 MU/0 5 ml  solution injectable ou pour perfusion en seringue préremplie;solution injectable ou pour perfusion;ACCORD HEALTHCARE (ESPAGNE)
ACCOFIL 48 MU/0 5 ml  solution injectable ou pour perfusion en seringue préremplie;solution injectable ou pour perfusion;ACCORD HEALTHCARE (ROYAUME UNI)
ACCUSOL 35 POTASSIUM 2 mmol/l  solution pour hémofiltration  hémodialyse et hémodiafiltration;solution et  solution pour hémofiltration pour hémodialyse et pour hémodiafiltration;NIKKISO BELGIUM (BELGIQUE)
ACCUSOL 35 POTASSIUM 4 mmol/l  solution pour hémofiltration  hémodialyse et hémodiafiltration;solution et  solution pour hémofiltration pour hémodialyse et pour hémodiafiltration;NIKKISO BELGIUM (BELGIQUE)
ACCUSOL 35  solution pour hémofiltration  hémodialyse et hémodiafiltration;solution et  solution pour hémofiltration pour hémodialyse et pour hémodiafiltration;NIKKISO BELGIUM (BELGIQUE)
ACEBUTOLOL ALMUS 200 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
ACEBUTOLOL ARROW 200 mg  comprimé pelliculé;comprimé pelliculé;ARROW GENERIQUES
ACEBUTOLOL ARROW 400 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;ARROW GENERIQUES
ACEBUTOLOL BIOGARAN 200 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
ACEBUTOLOL BIOGARAN 400 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
ACEBUTOLOL CRISTERS 200 mg  comprimé pelliculé;comprimé pelliculé;CRISTERS
ACEBUTOLOL CRISTERS 400 mg  comprimé pelliculé;comprimé pelliculé;CRISTERS
ACEBUTOLOL EG 200 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
ACEBUTOLOL EG 400 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
ACEBUTOLOL MYLAN 200 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
ACEBUTOLOL MYLAN 400 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
ACEBUTOLOL RANBAXY 200 mg  comprimé pelliculé;comprimé pelliculé;RANBAXY PHARMACIE GENERIQUES
ACEBUTOLOL RANBAXY 400 mg  comprimé pelliculé;comprimé pelliculé;RANBAXY PHARMACIE GENERIQUES
ACEBUTOLOL RATIOPHARM 200 mg  comprimé enrobé;comprimé enrobé;RATIOPHARM (ALLEMAGNE)
ACEBUTOLOL RATIOPHARM 400 mg  comprimé enrobé;comprimé enrobé;RATIOPHARM (ALLEMAGNE)
ACEBUTOLOL SANDOZ 200 mg  comprimé enrobé;comprimé enrobé;SANDOZ
ACEBUTOLOL SANDOZ 400 mg  comprimé enrobé;comprimé enrobé;SANDOZ
ACEBUTOLOL TEVA 200 mg  comprimé pelliculé;comprimé pelliculé;TEVA SANTE
ACEBUTOLOL TEVA 400 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;TEVA SANTE
ACEBUTOLOL ZENTIVA 200 mg  comprimé pelliculé;comprimé pelliculé;ZENTIVA FRANCE
ACEBUTOLOL ZENTIVA 400 mg  comprimé pelliculé;comprimé pelliculé;ZENTIVA FRANCE
ACEBUTOLOL ZYDUS 200 mg  comprimé pelliculé;comprimé pelliculé;ZYDUS FRANCE
ACEBUTOLOL ZYDUS 400 mg  comprimé pelliculé;comprimé pelliculé;ZYDUS FRANCE
ACECLOFENAC ACCORD 100 mg  comprimé pelliculé;comprimé pelliculé;ACCORD HEALTHCARE FRANCE
ACECLOFENAC BIOGARAN 100 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
ACECLOFENAC EG 100 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
ACECLOFENAC EG LABO 100 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
ACECLOFENAC MYLAN 100 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
ACETANILIDUM BOIRON  degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ACETATE DE CYPROTERONE ARROW 100 mg  comprimé sécable;comprimé sécable;ARROW GENERIQUES
ACETATE DE CYPROTERONE ARROW 50 mg  comprimé sécable;comprimé sécable;ARROW GENERIQUES
ACETATE DE CYPROTERONE EG 100 mg  comprimé sécable;comprimé sécable;EG LABO - LABORATOIRES EUROGENERICS
ACETATE DE CYPROTERONE EG 50 mg  comprimé sécable;comprimé sécable;EG LABO - LABORATOIRES EUROGENERICS
ACETATE DE CYPROTERONE SANDOZ 100 mg  comprimé sécable;comprimé sécable;SANDOZ
ACETATE DE CYPROTERONE SANDOZ 50 mg  comprimé sécable;comprimé sécable;SANDOZ
ACETATE DE CYPROTERONE TEVA 100 mg  comprimé sécable;comprimé sécable;TEVA SANTE
ACETATE DE CYPROTERONE TEVA 50 mg  comprimé;comprimé;TEVA SANTE
ACETATE DE TERLIPRESSINE EVER PHARMA 0 2 mg/ml  solution injectable;solution injectable;EVER VALINJECT (AUTRICHE)
ACETICUM ACIDUM BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ACETICUM ACIDUM LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
ACETONUM BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ACETYLCYSTEINE ARROW 200 mg  comprimé effervescent;comprimé effervescent(e);ARROW GENERIQUES
ACETYLCYSTEINE BIOGARAN CONSEIL 200 mg  comprimé effervescent;comprimé effervescent(e);BIOGARAN
ACETYLCYSTEINE BIOGARAN CONSEIL 200 mg  poudre pour solution buvable en sachet;poudre pour solution buvable;BIOGARAN
ACETYLCYSTEINE EG 200 mg  poudre pour solution buvable en sachet-dose;poudre pour solution buvable;EG LABO - LABORATOIRES EUROGENERICS
ACETYLCYSTEINE EG LABO CONSEIL 200 mg SANS SUCRE  poudre pour solution buvable en sachet-dose;poudre pour solution buvable;EG LABO - LABORATOIRES EUROGENERICS
ACETYLCYSTEINE MYLAN 200 mg  poudre pour solution buvable en sachet-dose;poudre pour solution buvable;MYLAN SAS
ACETYLCYSTEINE SANDOZ CONSEIL 200 mg  granulés pour solution buvable en sachet-dose;granulés pour solution buvable;SANDOZ
ACETYLCYSTEINE TEVA CONSEIL 200 mg SANS SUCRE  poudre pour solution buvable en sachet-dose;poudre pour solution buvable;TEVA SANTE
ACETYLCYSTEINE TEVA CONSEIL 200 mg  poudre pour solution buvable en sachet-dose;poudre pour solution buvable;RATIOPHARM (ALLEMAGNE)
ACETYLLEUCINE BIOGARAN 500 mg  comprimé;comprimé;BIOGARAN
ACETYLLEUCINE MYLAN 500 mg  comprimé;comprimé;MYLAN SAS
ACETYLLEUCINE TEVA 500 mg  comprimé;comprimé;TEVA SANTE
ACETYLLEUCINE ZENTIVA 500 mg  comprimé;comprimé;ZENTIVA FRANCE
ACICLOVIR ALMUS 200 mg  comprimé;comprimé;RANBAXY PHARMACIE GENERIQUES
ACICLOVIR ALMUS 5 %  crème;crème;BIOGARAN
ACICLOVIR ARROW 200 mg  comprimé;comprimé;ARROW GENERIQUES
ACICLOVIR ARROW 5 %  crème;crème;ARROW GENERIQUES
ACICLOVIR ARROW 800 mg  comprimé;comprimé;ARROW GENERIQUES
ACICLOVIR ARROW CONSEIL 5 %  crème;crème;ARROW GENERIQUES
ACICLOVIR ARROW LAB 200 mg  comprimé;comprimé;ARROW GENERIQUES
ACICLOVIR ARROW LAB 800 mg  comprimé;comprimé;ARROW GENERIQUES
ACICLOVIR BIOGARAN 200 mg  comprimé;comprimé;GLAXOSMITHKLINE
ACICLOVIR BIOGARAN 5 %  crème;crème;GLAXOSMITHKLINE
ACICLOVIR BIOGARAN 800 mg  comprimé;comprimé;GLAXOSMITHKLINE
ACICLOVIR BIOGARAN CONSEIL 5 %  crème;crème;BIOGARAN
ACICLOVIR CRISTERS 200 mg  comprimé;comprimé;CRISTERS
ACICLOVIR CRISTERS 5 %  crème;crème;CRISTERS
ACICLOVIR CRISTERS 800 mg  comprimé;comprimé;CRISTERS
ACICLOVIR CRISTERS CONSEIL 5 %  crème;crème;CRISTERS
ACICLOVIR EG 200 mg  comprimé;comprimé;EG LABO - LABORATOIRES EUROGENERICS
ACICLOVIR EG 5 POUR CENT  crème;crème;EG LABO - LABORATOIRES EUROGENERICS
ACICLOVIR EG 800 mg  comprimé;comprimé;EG LABO - LABORATOIRES EUROGENERICS
ACICLOVIR EVOLUGEN 200 mg  comprimé;comprimé;EVOLUPHARM
ACICLOVIR MYLAN 200 mg  comprimé;comprimé;MYLAN SAS
ACICLOVIR MYLAN 250 mg  poudre pour solution injectable (IV);poudre pour solution injectable;MYLAN SAS
ACICLOVIR MYLAN 5 %  crème;crème;MYLAN SAS
ACICLOVIR MYLAN 500 mg  poudre pour solution injectable (IV);poudre pour solution injectable;MYLAN SAS
ACICLOVIR MYLAN 800 mg  comprimé;comprimé;MYLAN SAS
ACICLOVIR MYLAN PHARMA 5 %  crème;crème;MYLAN SAS
ACICLOVIR RANBAXY 200 mg  comprimé;comprimé;RANBAXY PHARMACIE GENERIQUES
ACICLOVIR RATIOPHARM 200 mg  comprimé;comprimé;RATIOPHARM (ALLEMAGNE)
ACICLOVIR RATIOPHARM 5 %  crème;crème;RATIOPHARM (ALLEMAGNE)
ACICLOVIR RPG 5 %  crème;crème;RANBAXY PHARMACIE GENERIQUES
ACICLOVIR SANDOZ 200 mg  comprimé;comprimé;SANDOZ
ACICLOVIR SANDOZ 5 %  crème;crème;SANDOZ
ACICLOVIR SANDOZ CONSEIL 5 %  crème;crème;SANDOZ
ACICLOVIR TEVA 200 mg  comprimé;comprimé;TEVA SANTE
ACICLOVIR TEVA 5 %  crème;crème;TEVA SANTE
ACICLOVIR TEVA 800 mg  comprimé;comprimé;TEVA SANTE
ACICLOVIR TEVA CONSEIL 5 %  crème;crème;TEVA SANTE
ACICLOVIR TEVA SANTE 5 %  crème;crème;RATIOPHARM (ALLEMAGNE)
ACICLOVIR ZENTIVA 200 mg  comprimé;comprimé;ZENTIVA FRANCE
ACICLOVIR ZENTIVA 5 %  crème;crème;ZENTIVA FRANCE
ACICLOVIR ZENTIVA 800 mg  comprimé;comprimé;ZENTIVA FRANCE
ACICLOVIR ZYDUS 200 mg  comprimé;comprimé;ZYDUS FRANCE
ACICLOVIR ZYDUS 5 %  crème;crème;ZYDUS FRANCE
ACIDE ALENDRONIQUE ALTER 70 mg  comprimé pelliculé;comprimé pelliculé;LABORATOIRES ALTER
ACIDE ALENDRONIQUE ARROW 10 mg  comprimé;comprimé;ARROW GENERIQUES
ACIDE ALENDRONIQUE ARROW 70 mg  comprimé;comprimé;ARROW GENERIQUES
ACIDE ALENDRONIQUE ARROW LAB 70 mg  comprimé;comprimé;ARROW GENERIQUES
ACIDE ALENDRONIQUE BIOGARAN 70 mg  comprimé;comprimé;BIOGARAN
ACIDE ALENDRONIQUE CRISTERS 70 mg  comprimé;comprimé;CRISTERS
ACIDE ALENDRONIQUE EG 70 mg  comprimé;comprimé;EG LABO - LABORATOIRES EUROGENERICS
ACIDE ALENDRONIQUE EVOLUGEN 70 mg  comprimé;comprimé;EVOLUPHARM
ACIDE ALENDRONIQUE MYLAN  70 mg  comprimé;comprimé;MYLAN SAS
ACIDE ALENDRONIQUE PHR LAB 70 mg  comprimé;comprimé;TEVA SANTE
ACIDE ALENDRONIQUE RANBAXY 70 mg  comprimé;comprimé;RANBAXY PHARMACIE GENERIQUES
ACIDE ALENDRONIQUE SANDOZ 70 mg  comprimé;comprimé;SANDOZ
ACIDE ALENDRONIQUE TEVA SANTE 70 mg  comprimé;comprimé;TEVA SANTE
ACIDE ALENDRONIQUE ZYDUS 70 mg  comprimé;comprimé;ZYDUS FRANCE
ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) CRISTERS 70 mg/2800 UI  comprimé;comprimé;CRISTERS
ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) CRISTERS 70 mg/5600 UI  comprimé;comprimé;CRISTERS
ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EG 70 mg/2800 UI  comprimé;comprimé;EG LABO - LABORATOIRES EUROGENERICS
ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EG 70 mg/5600 UI  comprimé;comprimé;EG LABO - LABORATOIRES EUROGENERICS
ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EVOLUGEN 70 mg/2800 UI  comprimé;comprimé;EVOLUPHARM
ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EVOLUGEN 70 mg/5600 UI  comprimé;comprimé;EVOLUPHARM
ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) ZENTIVA 70 mg/2 800 UI  comprimé;comprimé;ZENTIVA FRANCE
ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) ZENTIVA 70 mg/5 600 UI  comprimé;comprimé;ZENTIVA FRANCE
ACIDE ALENDRONIQUE/VITAMINE D3 ARROW 70 mg/2 800 UI  comprimé;comprimé;ARROW GENERIQUES
ACIDE ALENDRONIQUE/VITAMINE D3 ARROW 70 mg/5 600 UI  comprimé;comprimé;ARROW GENERIQUES
ACIDE ALENDRONIQUE/VITAMINE D3 BGR 70 mg/2800 UI  comprimé;comprimé;BIOGARAN
ACIDE ALENDRONIQUE/VITAMINE D3 BGR 70 mg/5600 UI  comprimé;comprimé;BIOGARAN
ACIDE ALENDRONIQUE/VITAMINE D3 TEVA SANTE 70 mg/2800 UI  comprimé;comprimé;TEVA SANTE
ACIDE ALENDRONIQUE/VITAMINE D3 TEVA SANTE 70 mg/5600 UI  comprimé;comprimé;TEVA SANTE
ACIDE ALENDRONIQUE/VITD3 SANDOZ 70 mg/5600 UI  comprimé;comprimé;SANDOZ
ACIDE CARGLUMIQUE WAYMADE 200 mg  comprimé dispersible;comprimé dispersible;WAYMADE (ROYAUME-UNI)
ACIDE FOLIQUE ARROW 5 mg  comprimé;comprimé;ARROW GENERIQUES
ACIDE FOLIQUE CCD 0 4 mg  comprimé;comprimé;LABORATOIRE CCD
ACIDE FOLIQUE CCD 5 mg  comprimé;comprimé;LABORATOIRE CCD
ACIDE FOLIQUE MYLAN 5 mg  comprimé;comprimé;MYLAN SAS
ACIDE FUSIDIQUE ARROW 2 %  crème;crème;ARROW GENERIQUES
ACIDE FUSIDIQUE BGR 2 %  crème;crème;GOAPHARMA
ACIDE FUSIDIQUE BIOGARAN 2 %  crème;crème;BIOGARAN
ACIDE FUSIDIQUE EG 2 %  crème;crème;EG LABO - LABORATOIRES EUROGENERICS
ACIDE FUSIDIQUE MYLAN 2 %  crème;crème;MYLAN SAS
ACIDE FUSIDIQUE RATIOPHARM 2 %  crème;crème;TEVA SANTE
ACIDE FUSIDIQUE SANDOZ 2 %  crème;crème;SANDOZ
ACIDE IBANDRONIQUE TEVA 150 mg  comprimé pelliculé;comprimé pelliculé;TEVA (PAYS-BAS)
ACIDE TIAPROFENIQUE ARROW 100 mg  comprimé sécable;comprimé sécable;ARROW GENERIQUES
ACIDE TIAPROFENIQUE EG 100 mg  comprimé sécable;comprimé sécable;EG LABO - LABORATOIRES EUROGENERICS
ACIDE TIAPROFENIQUE TEVA 100 mg  comprimé sécable;comprimé sécable;TEVA SANTE
ACIDE TIAPROFENIQUE ZENTIVA 100 mg  comprimé sécable;comprimé sécable;ZENTIVA FRANCE
ACIDE TRANEXAMIQUE AGUETTANT 0 5 g/5 mL  solution injectable;solution injectable;AGUETTANT
ACIDE TRANEXAMIQUE MYLAN 0 5 g/ 5 mL  solution injectable;solution injectable;MYLAN SAS
ACIDE URSODESOXYCHOLIQUE BIOGARAN 250 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
ACIDE URSODESOXYCHOLIQUE GERDA 250 mg  comprimé pelliculé;comprimé pelliculé;LABORATOIRES GERDA
ACIDE URSODESOXYCHOLIQUE MYLAN 250 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
ACIDE URSODESOXYCHOLIQUE TEVA 250 mg  comprimé pelliculé;comprimé pelliculé;TEVA SANTE
ACIDE ZOLEDRONIQUE BIOGARAN 4 mg/100 ml  solution pour perfusion;solution pour perfusion;BIOGARAN
ACIDE ZOLEDRONIQUE BIOGARAN 5 mg/100 ml  solution pour perfusion;solution pour perfusion;BIOGARAN
ACIDE ZOLEDRONIQUE FRESENIUS KABI 4 mg/5 ml  solution à diluer pour perfusion;solution à diluer pour perfusion;FRESENIUS KABI FRANCE
ACIDE ZOLEDRONIQUE HOSPIRA 4 mg/100 ml  solution pour perfusion;solution pour perfusion;PFIZER EUROPE MA EEIG (BELGIQUE)
ACIDE ZOLEDRONIQUE MEDAC 4 mg/100 ml  solution pour perfusion;solution pour perfusion;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
ACIDE ZOLEDRONIQUE MYLAN 4 mg/100 ml  solution pour perfusion;solution pour perfusion;MYLAN SAS
ACIDE ZOLEDRONIQUE MYLAN 4 mg/5 ml  solution à diluer pour perfusion;solution à diluer pour perfusion;MYLAN SAS
ACIDE ZOLEDRONIQUE MYLAN 5 mg/100 ml  solution pour perfusion;solution pour perfusion;MYLAN SAS
ACIDE ZOLEDRONIQUE SANDOZ 4 mg/100 ml  solution pour perfusion;solution pour perfusion;SANDOZ
ACIDE ZOLEDRONIQUE SANDOZ 5 mg/100 ml  solution pour perfusion;solution pour perfusion;SANDOZ
ACIDE ZOLEDRONIQUE TEVA PHARMA 5 mg  solution pour perfusion en flacon;solution pour perfusion;TEVA (PAYS-BAS)
ACIDE ZOLEDRONIQUE ZENTIVA LAB 4 mg/100 ml  solution pour perfusion;solution pour perfusion;ZENTIVA FRANCE
ACIDRINE  comprimé à croquer;comprimé à croquer;TEOFARMA
ACIDUM PHOSPHORICUM COMPLEXE N°5  solution buvable en gouttes;solution buvable en gouttes;LEHNING
ACLASTA 5 mg  solution pour perfusion;solution pour perfusion;NOVARTIS EUROPHARM (IRLANDE)
ACLOTINE 100 UI/mL  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;LFB-BIOMEDICAMENTS
ACONITUM FEROX BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ACONITUM NAPELLUS BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ACONITUM NAPELLUS LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
ACONITUM NAPELLUS WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  crème et  solution en gouttes en gouttes;WELEDA
ACORSPRAY 200 microgrammes/dose  solution pour inhalation en flacon pressurisé;solution pour inhalation;CHIESI
ACT-HIB 10 microgrammes/0 5 ml  poudre et solvant pour solution injectable en seringue préremplie. Vaccin conjugué de l'Haemophilus type b;poudre et  solvant pour solution injectable;SANOFI PASTEUR
ACTAEA RACEMOSA BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ACTAEA RACEMOSA DECOCTE WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  poudre et  solution en gouttes en gouttes;WELEDA
ACTAEA RACEMOSA FERRIER  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  solution en gouttes en gouttes;FERRIER
ACTAEA RACEMOSA LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
ACTAEA SPICATA BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ACTAEA SPICATA LEHNING  degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
ACTAPULGITE 3 g  poudre pour suspension buvable en sachet;poudre pour suspension buvable;IPSEN CONSUMER HEALTHCARE
ACTHEANE  comprimé;comprimé;BOIRON
